x,y,z
-18.0618,15.01396,47
-18.8218,15.02323,56
-20.9967,15.17225,54
-16.6296,14.88494,8
-16.943,14.96546,92
-16.7177,14.88058,32
-16.0171,15.01077,27
-16.7519,14.97505,71
-19.9786,15.159,28
-17.9172,14.87076,39
-21.6361,15.15883,80
-17.0697,14.90091,13
-17.499,14.83593,16
-18.083,14.85213,12
-22.155,15.15872,58
-20.6402,15.12584,69
-17.5087,14.84764,12
-20.5994,15.15635,52
-16.3316,14.83771,52
-21.5564,15.1785,33
-16.5788,14.90374,83
-19.8863,14.91786,36
-21.4025,15.24031,78
-18.1239,14.78565,78
-20.6159,14.96754,47
-16.7653,14.83389,56
-15.7211,14.92308,54
-18.8655,14.87672,8
-19.6032,14.9417,92
-20.9696,15.16771,32
-17.7109,14.81019,27
-19.6093,14.99927,71
-22.1297,15.14969,28
-19.4612,14.97296,39
-18.7454,14.81629,80
-18.4331,14.84098,13
-17.4936,14.84941,16
-18.4348,14.90933,12
-18.4191,14.84006,58
-20.7855,15.1962,69
-18.8795,14.87764,12
-20.4561,14.97089,52
-21.5898,15.27746,7
-22.2692,15.16159,32
-18.6404,14.82691,72
-17.5627,14.89269,71
-19.6015,15.09188,97
-18.7642,15.02314,22
-18.0015,14.91225,6
-18.2272,14.81548,54
-20.1073,15.12503,21
-21.5564,15.1785,72
-17.0772,14.88204,67
-18.9939,14.95246,99
-19.0828,15.01914,22
-18.3856,14.81573,85
-17.2057,14.92091,42
-19.3227,14.92239,4
-15.954,14.91715,66
-19.4437,15.1267,86
-20.0994,14.92538,24
-17.3594,14.93284,59
-18.3028,14.95139,52
-20.9149,15.16043,20
-22.6358,15.2197,95
-19.5176,15.08545,33
-17.5821,14.84416,83
-15.8682,14.84418,36
-19.1108,15.02098,78
-20.9353,15.10831,78
-17.4717,14.94021,47
-18.564,14.80162,56
-19.6,14.94979,54
-18.5373,14.79618,8
-16.1249,14.92191,92
-16.1525,14.9966,32
-15.9196,15.00252,27
-20.9245,15.06243,71
-17.8436,14.8023,28
-22.3353,15.21385,39
-17.4854,14.94202,80
-21.8297,15.17981,13
-21.173,15.20039,16
-15.7067,14.92306,12
-16.2659,15.00127,58
-17.3782,14.95804,69
-20.0555,14.92711,12
-18.4331,14.84098,52
-17.9134,14.95258,33
-21.4861,15.17389,83
-21.6407,15.18402,36
-20.517,15.0726,78
-18.6925,15.02213,78
-18.7321,14.92238,47
-17.5768,14.89361,56
-17.1129,14.86501,54
-16.1759,15.01012,8
-15.2888,14.85226,92
-15.0127,14.85812,32
-17.5821,14.84416,27
-17.9175,14.86986,71
-21.2538,15.2149,28
-16.1165,15.01452,39
-18.1114,14.8171,80
-17.3382,14.94989,13
-17.0697,14.90091,16
-20.5872,15.0772,12
-16.2041,14.90405,58
-15.4902,14.88854,69
-20.5256,15.16074,12
-21.5564,15.1785,52
-20.7044,14.96228,33
-18.8506,15.02328,83
-19.9159,14.98895,36
-20.9149,15.16043,78
-19.3318,15.00873,78
-18.4211,15.01632,47
-15.6898,14.92932,56
-16.6338,14.98206,54
-19.1404,15.01923,8
-21.5377,15.263,92
-18.7403,14.90171,32
-17.259,14.85984,27
-17.4121,15.01745,71
-21.6407,15.18402,28
-21.0648,15.18224,39
-19.3466,15.00785,80
-18.5212,15.01827,13
-18.7842,14.89998,16
-19.0721,14.90042,12
-20.4561,14.97089,58
-19.1006,14.90136,69
-21.0508,15.18132,12
-19.8341,15.08684,52
-17.5965,14.84418,33
-17.707,14.85604,83
-20.3814,15.08768,36
-21.173,15.20039,78
-21.5788,15.04724,78
-19.3878,15.04928,47
-17.7247,14.88395,56
-16.7415,14.8932,54
-19.5643,15.00369,8
-20.4084,15.09222,92
-18.961,14.92633,32
-21.2208,15.26251,27
-19.4419,15.05836,71
-20.1702,15.22134,28
-16.2927,14.8988,39
-17.3172,14.82216,80
-22.0394,15.15945,13
-18.5519,14.83217,16
-21.1867,15.20221,12
-19.4664,15.06919,58
-17.0618,14.88471,69
-20.1558,15.22132,12
-15.0541,14.86268,52
-17.5965,14.84418,83
-21.5788,15.04724,36
-20.1949,14.93902,78
-16.6309,14.98925,78
-19.5616,14.90117,47
-19.7438,15.09659,56
-22.6723,15.19997,54
-21.1783,15.18691,8
-20.0508,15.08537,92
-17.6955,14.8848,32
-19.1484,14.88975,27
-19.689,15.08931,71
-17.9316,14.87078,28
-17.5688,14.84144,39
-20.4439,15.07518,80
-17.7024,14.90369,13
-20.6549,15.12497,16
-17.4397,14.94825,12
-17.3309,14.85995,58
-15.9261,14.84337,69
-18.8092,14.94588,12
-17.3689,15.01738,52
-21.5781,15.08591,7
-21.542,15.17847,32
-17.975,14.97876,72
-19.2506,14.88631,71
-19.859,14.98706,97
-21.5901,15.27656,22
-17.2241,14.94701,6
-20.529,15.22549,54
-16.3537,14.99781,21
-17.3464,14.82131,72
-16.1304,14.90843,67
-19.4421,15.09433,99
-16.337,14.89617,22
-22.6157,15.19719,85
-15.129,14.8556,42
-18.0236,14.82056,4
-17.7112,14.80929,66
-15.7521,14.91773,86
-17.4054,14.85377,24
-19.8432,14.99063,59
-18.3978,14.92995,52
-20.7602,14.96686,20
-15.8496,14.92598,95
-17.0834,14.86676,33
-19.8655,14.93401,83
-17.3468,14.85638,36
-17.5821,14.84416,78
-21.3881,15.24029,78
-20.9152,15.15953,47
-17.9267,14.9553,56
-18.3032,14.95049,54
-19.6014,14.87336,8
-20.9149,15.16043,92
-21.5244,15.07593,32
-15.802,14.97267,27
-16.9743,14.88727,71
-18.0471,15.01484,28
-21.2459,15.01436,39
-18.8938,15.02334,80
-22.0436,15.14866,13
-20.6355,15.17439,16
-17.7586,14.94335,12
-19.0314,14.89406,58
-19.3649,14.92515,69
-17.6045,14.93232,12
-18.4272,14.78342,52
-21.0093,15.17676,33
-16.6425,14.92452,83
-18.578,14.80254,36
-22.244,15.2263,78
-19.2365,14.95823,78
-17.319,14.81767,47
-18.5314,14.84743,56
-18.1827,14.85498,54
-19.265,14.88633,8
-19.5136,14.87682,92
-16.8401,14.97069,32
-16.3752,14.83688,27
-19.7673,15.11012,71
-19.5582,14.94613,28
-16.9293,14.96364,39
-16.41,14.89359,80
-19.8724,14.98978,13
-16.8966,14.93751,16
-19.6181,14.90396,12
-19.0532,15.02089,58
-16.9121,14.93484,69
-18.578,14.80254,12
-20.8464,15.15134,52
-16.7174,14.88148,33
-19.4484,15.00531,83
-18.4914,14.94808,36
-16.0578,15.01713,78
-19.5302,14.94429,78
-20.6313,14.96486,47
-20.6022,14.96572,56
-19.0968,15.02006,54
-21.4478,15.05064,8
-17.8923,14.82486,92
-19.0244,15.02085,32
-16.8681,14.93657,27
-18.3978,14.92995,71
-17.4191,14.81962,28
-15.0127,14.85812,39
-18.3978,14.92995,80
-20.7406,15.16376,13
-19.9144,14.9197,16
-15.588,14.89589,12
-18.2891,14.94957,58
-19.3793,14.92517,69
-21.7693,15.15004,12
-19.4133,15.09428,52
-19.8724,14.98978,33
-21.5244,15.26028,83
-17.5681,14.84324,36
-15.9007,14.94225,78
-19.4761,14.93521,78
-16.3836,14.99516,47
-17.4707,14.9429,56
-18.4316,14.80861,54
-17.2223,14.91554,8
-18.4331,14.84098,92
-18.0503,14.86197,32
-16.7954,14.97422,27
-19.5582,14.94613,71
-17.7012,14.83445,28
-21.3498,15.08016,39
-17.975,14.97876,80
-21.5683,15.03733,13
-17.3256,14.9094,16
-19.7756,15.12542,12
-17.552,14.95562,58
-18.6209,15.02112,69
-17.3173,14.85813,12
-17.0693,14.90181,52
-20.6131,15.15817,52
-18.5208,15.01917,83
-19.9742,14.98724,36
-21.8027,15.17527,78
-20.6549,15.12497,78
-17.4205,14.852,47
-16.9272,14.93306,56
-21.9826,15.2313,54
-17.1766,14.95773,8
-19.3954,14.99354,92
-19.2264,14.94742,32
-21.5244,15.07593,27
-22.0215,15.16841,71
-18.7872,14.92876,28
-18.9014,14.85879,39
-21.8343,15.205,80
-16.1456,15.01367,13
-17.142,14.86415,16
-19.2945,14.88458,12
-18.578,14.80254,58
-20.6549,15.12497,69
-21.5782,15.27025,12
-17.4788,14.85029,52
-18.8668,14.94597,7
-15.588,14.89589,32
-20.9392,15.06155,72
-17.5821,14.84416,71
-17.0834,14.86676,97
-17.06,14.96115,22
-21.7924,15.1276,6
-17.6365,14.8883,54
-21.4001,15.02539,21
-18.2492,14.94141,72
-17.8543,14.92012,67
-20.0124,14.92705,99
-15.0825,14.86362,22
-21.198,15.24719,85
-15.7654,14.92045,42
-15.9031,14.97192,4
-18.2048,14.90807,66
-15.9902,14.97026,86
-19.6692,14.95709,24
-18.3978,14.92995,59
-20.2254,15.08114,52
-20.1677,15.11792,20
-18.8809,14.94689,95
-21.061,15.11839,33
-22.1027,15.14515,83
-20.199,15.22139,36
-20.3817,15.08678,78
-19.212,14.9474,78
-16.4978,14.89013,47
-16.8401,14.97069,56
-17.5624,14.89359,54
-21.6772,15.23803,8
-17.1273,14.86503,92
-21.5261,15.03457,32
-20.6189,15.07006,27
-17.0834,14.86676,71
-15.0275,14.85724,28
-16.022,14.92715,39
-21.6389,15.22538,80
-18.7321,14.92238,13
-15.588,14.89589,16
-19.6218,15.11349,12
-17.4851,14.94292,58
-20.5951,15.16714,69
-18.2492,14.94141,12
-19.2678,15.09766,52
-16.2008,14.94811,33
-17.3785,14.95715,83
-15.0271,14.85814,36
-20.9104,15.06151,78
-18.2859,14.81288,78
-15.588,14.89589,47
-18.8422,14.89917,56
-15.0127,14.85812,54
-18.6925,15.02213,8
-20.0944,15.08454,92
-16.3678,14.96276,32
-20.5187,15.10497,27
-15.9035,14.97103,71
-20.0656,15.0845,28
-20.2644,14.94542,39
-18.7836,14.93774,80
-18.8655,14.87672,13
-18.6209,15.02112,16
-20.9693,15.16861,12
-18.8168,14.85416,58
-15.0127,14.85812,69
-16.5417,14.8884,12
-19.1112,15.02008,52
-19.2506,14.88631,33
-22.1297,15.14969,83
-19.0314,14.89406,36
-16.0905,14.86431,78
-20.954,15.06068,78
-21.771,15.14555,47
-18.6404,14.82691,56
-22.284,15.19759,54
-18.033,15.01392,8
-21.5637,15.08589,92
-18.9847,14.90298,32
-20.9008,15.15951,27
-19.7558,14.9932,71
-19.5446,14.94431,28
-19.8053,15.08679,39
-19.6163,15.091,80
-17.9189,14.83029,13
-15.0998,14.85646,16
-15.6783,14.92211,12
-20.4361,15.13182,58
-19.2264,14.94742,69
-20.3734,15.18119,12
-18.4351,14.90843,52
-20.9008,15.15951,33
-21.4141,15.02631,83
-18.2621,14.94503,36
-18.0618,15.01396,78
-20.0552,14.92801,78
-19.4133,15.09428,47
-17.1283,14.82636,56
-18.578,14.80254,54
-19.9932,15.08528,8
-19.7308,15.09297,92
-19.8569,15.10216,32
-17.3464,14.82131,27
-18.242,14.81461,71
-22.4619,15.22213,28
-21.0104,15.17407,39
-19.4484,15.00531,80
-19.6396,15.14139,13
-22.1301,15.14879,16
-15.8416,14.94575,12
-18.6353,15.02114,58
-17.858,14.80232,69
-18.6925,15.02213,12
-21.5202,15.04985,52
-18.8074,15.02321,52
-21.4735,15.05877,83
-18.3923,15.01627,36
-18.5202,14.94813,78
-20.6461,14.96399,78
-21.1056,15.1886,47
-16.3393,14.99779,56
-21.2884,15.01622,54
-17.5095,14.95375,8
-19.2506,14.88631,92
-21.5205,15.04895,32
-18.8312,14.85419,27
-17.9172,14.87076,71
-17.7691,14.95326,28
-17.3173,14.85813,39
-19.2506,14.88631,80
-17.3752,14.82135,13
-19.3368,14.92331,16
-20.086,15.17895,12
-19.9065,15.08605,58
-17.069,14.86674,69
-15.8682,14.84418,12
-19.2678,15.09766,52
-16.4725,14.989,7
-17.0834,14.86676,32
-18.5591,14.85017,72
-19.559,14.94433,71
-21.485,15.06598,97
-15.6726,14.90052,22
-16.6482,14.98208,6
-19.5479,14.89935,54
-18.0159,14.91227,21
-16.8789,14.94558,72
-15.588,14.89589,67
-20.0271,14.92617,99
-21.0643,14.9997,22
-15.6754,14.9293,85
-15.9124,15.0205,42
-19.7452,14.91045,4
-18.113,14.88545,66
-19.1706,15.01568,86
-17.8751,14.90396,24
-17.0744,14.96117,59
-15.0127,14.85812,52
-19.0968,15.02006,20
-18.3491,15.0162,95
-15.584,14.90578,33
-19.2986,14.9835,83
-18.4316,14.80861,36
-19.2506,14.88631,78
-21.4141,15.02631,78
-15.8416,14.94575,47
-22.5346,15.22045,56
-18.1469,14.80007,54
-21.173,15.20039,8
-16.2644,15.00486,92
-19.6602,14.90672,32
-15.9673,14.91987,27
-17.461,15.00314,71
-19.3878,15.04928,28
-19.5309,14.94249,39
-19.5136,14.87682,80
-20.5446,15.14908,13
-17.4854,14.94202,16
-20.209,14.93994,12
-18.4172,14.80858,58
-17.9606,14.97873,69
-17.6224,14.81544,12
-16.7648,14.9427,52
-22.1874,15.22352,33
-19.4468,14.97294,83
-16.9743,14.88727,36
-18.1821,14.89275,78
-19.5136,14.87682,78
-19.8871,14.9889,47
-19.859,14.98706,56
-16.1008,14.91019,54
-18.3298,14.81115,8
-20.1344,14.98299,92
-21.5514,15.08047,32
-16.7361,14.83474,27
-18.113,14.88545,71
-15.9991,15.01974,28
-18.1693,14.81629,39
-17.7628,14.86062,80
-20.5256,15.16074,13
-18.2747,14.94955,16
-18.4116,14.85893,12
-17.9134,14.95258,58
-9.6502,15.14539,69
-8.8481,15.09912,12
-8.8637,15.13062,52
-10.4948,15.15935,33
-10.2945,15.1905,83
-8.1489,15.11687,36
-7.9765,15.18403,78
-9.679,15.14544,78
-8.523,15.11838,47
-10.0631,15.15775,56
-8.6859,15.10785,54
-7.9773,15.18223,8
-7.9917,15.18225,92
-8.014,15.09506,32
-10.4568,15.1467,27
-10.4734,15.14133,71
-9.4144,15.12343,28
-9.4938,15.17481,39
-10.0775,15.15777,80
-9.7426,15.20039,13
-7.9769,15.18313,16
-8.8893,15.17293,12
-9.32,15.10798,58
-9.7217,15.11223,69
-8.3824,15.14423,12
-8.312,15.17468,52
-8.9634,15.13348,33
-10.2701,15.11042,83
-9.2692,15.12589,36
-7.8555,15.0948,78
-10.5309,15.17649,78
-10.3049,15.16534,47
-8.8344,15.0973,56
-8.8752,15.17201,54
-9.32,15.10798,8
-10.7913,15.17421,92
-8.523,15.11838,32
-8.5856,15.14096,27
-7.9355,15.11022,71
-7.693,15.1386,28
-8.0723,15.09336,39
-10.4107,15.11875,80
-9.2545,15.12676,13
-8.3414,15.10459,16
-9.3786,15.17462,12
-8.523,15.11838,58
-7.8962,15.20368,69
-8.7336,15.09714,12
-9.7636,15.15007,52
-10.4366,15.12598,52
-9.3646,15.1737,83
-10.4581,15.10893,36
-8.8213,15.12875,78
-9.0726,15.14805,78
-9.1295,15.14994,47
-8.4612,15.12817,56
-8.89,15.17113,54
-10.7614,15.17686,8
-8.0376,15.17603,92
-8.1736,15.16097,32
-9.8713,15.16823,27
-9.0478,15.10394,71
-9.699,15.20122,28
-9.3203,15.10709,39
-10.6319,15.14158,80
-10.6393,15.12361,13
-9.7671,15.17615,16
-10.0487,15.15773,12
-10.2535,15.18504,58
-10.0631,15.15775,69
-8.6791,15.12403,12
-8.5381,15.1166,52
-10.4347,15.13047,7
-8.3081,15.11533,32
-8.7995,15.07746,72
-7.8411,15.09478,71
-7.5372,15.09788,97
-8.1489,15.11687,22
-8.7093,15.18972,6
-8.9218,15.16399,54
-8.2296,15.09631,21
-8.9718,15.14788,72
-10.4446,15.14128,67
-7.8707,15.1272,99
-7.8788,15.21085,22
-7.9359,15.10932,85
-9.0478,15.10394,42
-10.2269,15.11035,4
-7.3128,15.11729,66
-10.5309,15.17649,86
-8.3828,15.14333,24
-8.3085,15.1486,59
-10.0717,15.13708,52
-8.4052,15.15865,20
-9.68,15.17781,95
-10.3524,15.12045,33
-9.6574,15.12832,83
-8.8169,15.0703,36
-10.8609,15.11048,78
-7.6475,15.14392,78
-9.1198,15.10406,47
-7.9355,15.11022,56
-9.7232,15.17788,54
-8.9774,15.1344,8
-9.6815,15.17422,92
-9.0434,15.1489,32
-9.1211,15.13554,27
-8.843,15.18005,71
-8.0978,15.16984,28
-10.8321,15.11043,39
-10.0631,15.15775,80
-10.5309,15.17649,13
-7.4315,15.07522,16
-10.4446,15.14128,12
-7.9106,15.2037,58
-10.1912,15.16155,69
-8.8505,15.1279,12
-8.0852,15.09698,52
-9.7329,15.15452,33
-8.9722,15.14699,83
-8.9037,15.17295,36
-10.4584,15.10803,78
-9.9905,15.1936,78
-7.8886,15.15331,47
-10.0631,15.15775,56
-8.648,15.0952,54
-10.1628,15.16061,8
-8.7424,15.11064,92
-8.662,15.09612,32
-9.6934,15.14546,27
-8.0428,15.09511,71
-9.7314,15.15811,28
-8.0978,15.16984,39
-9.1639,15.13651,80
-9.963,15.15579,13
-7.4315,15.14357,16
-8.9218,15.16399,12
-8.8487,15.06315,58
-8.8344,15.0973,69
-7.9917,15.18225,12
-10.4878,15.14135,52
-8.3941,15.11637,33
-8.597,15.14817,83
-7.9848,15.09591,36
-10.4369,15.12508,78
-10.319,15.16626,78
-9.32,15.10798,47
-8.3941,15.11637,56
-8.1551,15.17083,54
-8.5378,15.1175,8
-8.6887,15.1699,92
-8.9714,15.14878,32
-8.3597,15.16397,27
-8.7822,15.1188,71
-10.2675,15.18596,28
-8.9058,15.13339,39
-7.6073,15.13666,80
-8.8896,15.17203,13
-8.9965,15.15782,16
-10.4373,15.12418,12
-9.2859,15.12052,58
-10.0631,15.15775,69
-8.0152,15.16071,12
-9.8487,15.11873,52
-9.6674,15.1733,33
-11.3789,15.18235,83
-9.2775,15.20953,36
-10.459,15.1413,78
-10.2125,15.11033,78
-9.334,15.10891,47
-7.4792,15.09868,56
-8.0852,15.09698,54
-10.8321,15.11043,8
-8.9058,15.13339,92
-8.662,15.09612,32
-9.679,15.14544,27
-8.1392,15.20857,71
-10.8177,15.11041,28
-10.2413,15.11038,39
-8.1736,15.16097,80
-7.5376,15.09698,13
-11.109,15.13786,16
-8.0523,15.17516,12
-9.757,15.20042,58
-10.9583,15.1538,69
-10.4104,15.11964,12
-9.6151,15.16062,52
-10.3573,15.17801,52
-9.3196,15.10888,83
-9.3056,15.10796,36
-9.6934,15.14546,78
-10.5309,15.17649,78
-10.194,15.12019,47
-10.8037,15.10949,56
-8.0485,15.14997,54
-10.3049,15.16534,8
-8.3601,15.16307,92
-9.1339,15.2084,32
-8.648,15.0952,27
-9.0714,15.11657,71
-8.5855,15.10679,28
-8.5599,15.1679,39
-8.0284,15.09509,80
-7.607,15.13756,13
-7.607,15.13756,16
-9.3196,15.10888,12
-8.044,15.16076,58
-8.6999,15.10877,69
-9.2343,15.10605,12
-9.7815,15.17618,52
-8.1266,15.16989,7
-7.9166,15.15515,32
-9.9617,15.19356,72
-9.7076,15.18055,71
-8.6571,15.1078,97
-8.7955,15.12152,22
-9.6461,15.15528,6
-8.0523,15.17516,54
-10.7614,15.17686,21
-9.2343,15.10605,72
-8.5692,15.11126,67
-7.4463,15.14269,99
-8.0575,15.09423,22
-8.0527,15.17426,85
-10.9228,15.16993,42
-10.7899,15.14274,4
-10.1717,15.13904,66
-8.8505,15.1279,86
-10.0849,15.1398,24
-9.7271,15.20307,59
-8.7743,15.13767,52
-10.0288,15.13611,20
-10.459,15.1413,95
-10.8335,15.14191,33
-8.9421,15.11546,83
-9.4501,15.14147,36
-9.32,15.10798,78
-9.4789,15.14152,78
-7.8632,15.21352,47
-9.4497,15.14237,56
-10.4158,15.14123,54
-8.7671,15.12057,8
-7.9167,15.18933,92
-8.949,15.13346,32
-9.32,15.10798,27
-8.834,15.06403,71
-8.9867,15.18118,28
-8.7136,15.11059,39
-8.823,15.1935,80
-10.4587,15.1422,13
-7.8954,15.20548,16
-8.4158,15.13349,12
-8.7545,15.11606,58
-7.8855,15.12633,69
-8.3941,15.11637,12
-9.803,15.22837,52
-7.4633,15.06808,33
-9.5573,15.12636,83
-9.6527,15.17417,36
-8.1596,15.16005,78
-10.1865,15.13817,78
-8.0383,15.17424,47
-10.8609,15.11048,56
-8.0982,15.16894,54
-8.3828,15.14333,8
-10.7754,15.17779,92
-9.32,15.10798,32
-9.4568,15.12529,27
-8.9195,15.13521,71
-10.3049,15.16534,28
-10.3137,15.1096,39
-8.2183,15.15745,80
-9.1195,15.10496,13
-9.3786,15.17462,16
-8.1732,15.16187,12
-9.5713,15.12728,58
-11.1632,15.18111,69
-10.9491,15.1412,12
-9.3356,15.13948,52
-7.9917,15.18225,33
-9.9579,15.1333,83
-13.9637,14.923,36
-13.1538,14.89564,78
-13.3536,15.11178,78
-13.1619,15.12226,47
-13.3381,15.14952,56
-12.7933,15.07221,54
-17.7523,15.32012,8
-16.1864,15.16301,92
-12.8488,15.11277,32
-16.2862,15.12989,27
-15.0595,15.2053,71
-14.7329,15.1931,28
-11.8901,15.09595,39
-13.7895,14.92632,80
-17.4843,15.23338,13
-15.2758,15.24071,16
-16.1274,15.13054,12
-17.479,15.03014,58
-17.3867,15.22513,69
-17.4288,15.2279,12
-19.7664,15.25849,52
-13.1553,15.10337,33
-17.8628,15.26005,83
-17.5099,15.34942,36
-13.9741,14.93291,78
-16.6534,15.25636,78
-15.2372,15.15792,47
-20.3321,15.24947,56
-17.3535,15.1999,54
-16.4325,15.01682,8
-13.2261,15.07111,92
-13.662,15.13295,32
-16.8946,15.37364,27
-14.4085,14.9273,71
-13.1036,15.12397,28
-14.6479,15.11832,39
-20.1674,15.22853,80
-15.5276,15.22402,13
-14.1898,15.14638,16
-17.9476,15.15586,12
-15.8527,15.13281,58
-13.0966,15.14104,69
-18.8676,15.12582,12
-11.9182,15.13286,52
-15.7739,15.22081,52
-13.9713,15.08128,83
-12.248,15.06685,36
-13.1231,15.07634,78
-17.8207,15.25728,78
-14.6939,15.21821,47
-15.2316,15.02932,56
-17.0442,15.07263,54
-16.9242,15.19204,8
-14.9309,15.2024,92
-17.8824,15.13868,32
-15.6352,15.13607,27
-17.2728,15.14942,71
-12.9419,15.1318,28
-15.1705,15.1803,39
-16.9801,15.19662,80
-13.6759,15.0988,13
-12.5832,14.98735,16
-13.6652,14.98368,12
-17.5342,15.14443,58
-12.6892,15.01,69
-15.1573,15.14161,12
-15.3328,15.20663,52
-13.5793,15.1589,7
-13.3093,15.1144,32
-16.151,15.21511,72
-17.1248,15.33893,71
-14.2452,15.15186,97
-16.1522,15.14048,22
-14.251,15.20852,6
-18.6026,15.13979,54
-16.5504,15.22563,21
-14.7952,14.89734,72
-14.9636,14.9084,67
-15.6022,14.96785,99
-15.2868,15.17778,22
-12.913,15.13176,85
-12.6596,15.04682,42
-12.7379,15.06673,4
-19.4327,15.2274,66
-19.4631,15.25982,86
-15.5934,15.1324,24
-12.9045,15.08228,59
-15.588,14.89589,52
-15.8268,15.12558,20
-15.8383,15.13279,95
-15.5331,15.17457,33
-13.0715,15.16708,83
-12.5883,14.97477,36
-14.022,14.9213,78
-15.6138,15.18909,78
-15.233,15.02573,47
-13.4227,14.9779,56
-13.3754,15.1289,54
-14.5535,15.209,8
-20.1584,15.17816,92
-14.5555,15.23958,32
-14.4632,14.86354,27
-12.9574,15.12913,71
-18.8612,15.2508,28
-14.4596,15.19176,39
-15.1044,14.88074,80
-15.455,14.97572,13
-12.3953,15.02392,16
-19.2372,15.32062,12
-15.6137,14.97507,58
-16.3749,15.01673,69
-17.7097,15.24632,12
-19.043,15.15576,52
-13.3982,15.10825,33
-11.516,15.12952,83
-12.6205,15.0018,36
-14.2284,14.945,78
-13.8647,14.91835,78
-17.1897,15.21314,47
-17.6149,15.12298,56
-13.5593,14.85492,54
-13.0192,15.01322,8
-17.8022,15.19521,92
-15.2084,15.15788,32
-12.2635,15.09924,27
-17.0488,15.20482,71
-13.4876,15.1012,28
-12.513,14.94767,39
-12.3875,15.00772,80
-14.2012,15.15359,13
-14.2678,15.16718,16
-14.1698,14.87657,12
-14.4188,15.15033,58
-14.5204,14.86453,69
-16.4004,15.34769,12
-13.1306,15.16358,52
-20.4446,15.25683,33
-16.9088,15.12277,83
-15.0242,15.04338,36
-13.4031,15.13164,78
-20.5436,15.26148,78
-15.2544,15.36478,47
-13.173,15.0953,56
-16.0861,15.26896,54
-15.3736,15.17702,8
-15.1062,15.0543,92
-12.7509,15.07035,32
-13.9887,15.00308,27
-13.1025,15.12666,71
-19.936,15.194,28
-17.4378,15.27737,39
-12.7295,15.0874,80
-16.8226,15.30159,13
-17.2304,15.3274,16
-13.6759,15.0988,12
-20.5337,15.28664,58
-17.3161,15.22143,69
-14.9555,14.85713,12
-12.7793,15.07129,52
-15.2201,15.02211,33
-14.5238,14.96256,83
-15.2869,15.07077,36
-20.8016,15.26547,78
-15.4292,15.14653,78
-15.782,15.02209,47
